Customer_ID,Age,Gender,Annual_Income,Total_Spent,Num_Purchases,Avg_Purchase_Value,Preferred_Style,Preferred_Color,Loyalty_Program_Member,Preferred_Shopping_Day,Online_vs_InStore,Coupon_Usage_Frequency,Time_Since_Last_Purchase_Days,Last_Purchase_Category,Loyalty_Points_Accumulated,Store_Visits_Per_Month,Customer_Since
CUST0015,30,Other,53074,5272.5,95,55.5,Formal,Black,1,Monday,InStore,Sometimes,32,Accessories,1149,6,2021-03-10
CUST0016,21,Male,39282,991.04,38,26.08,Casual,Red,0,Friday,Online,Always,43,Clothing,1052,4,2020-06-21
CUST0017,46,Other,75906,4319.01,37,116.73,Sporty,Blue,1,Wednesday,Online,Sometimes,53,Accessories,1645,2,2022-01-08
CUST0018,56,Female,43879,2663.52,62,42.96,Vintage,Yellow,0,Sunday,InStore,Always,13,Clothing,824,6,2023-08-10
CUST0019,21,Other,26278,877.88,34,25.82,Casual,White,0,Friday,Online,Rarely,32,Clothing,907,9,2023-01-26
CUST0020,18,Male,37713,354.64,11,32.24,Casual,Blue,0,Friday,Online,Sometimes,52,Clothing,337,7,2021-09-15
CUST0021,24,Female,28690,1549.72,68,22.79,Casual,White,1,Friday,Online,Rarely,8,Beauty,8983,1,2023-03-04
CUST0022,36,Female,61643,8437.8,84,100.45,Sporty,Green,0,Wednesday,Online,Sometimes,24,Clothing,1218,2,2021-12-09
CUST0023,32,Male,43928,5001.18,82,60.99,Formal,Green,0,Monday,InStore,Sometimes,75,Beauty,1070,6,2021-10-14
CUST0024,39,Male,81945,5596.0,50,111.92,Sporty,Black,1,Wednesday,Online,Sometimes,59,Footwear,1288,1,2021-03-07
CUST0025,60,Male,48448,1178.32,22,53.56,Vintage,Green,0,Sunday,InStore,Rarely,45,Clothing,1800,4,2022-11-24
CUST0026,40,Other,65169,6202.68,66,93.98,Sporty,Yellow,1,Wednesday,InStore,Always,84,Beauty,228,9,2025-03-19
CUST0027,50,Male,81737,2668.0,23,116.0,Sporty,Black,0,Wednesday,InStore,Often,20,Footwear,577,10,2022-01-25
CUST0028,31,Other,46671,6573.69,97,67.77,Formal,Black,1,Monday,Online,Always,7,Clothing,7039,5,2022-02-13
CUST0029,18,Other,30929,544.18,26,20.93,Casual,Black,0,Friday,InStore,Sometimes,55,Beauty,19,2,2022-10-06
CUST0030,20,Female,37877,450.1,14,32.15,Casual,Green,0,Friday,Online,Never,47,Clothing,1840,6,2021-08-22
CUST0031,29,Other,43368,3031.6,55,55.12,Formal,White,0,Monday,InStore,Rarely,21,Accessories,1805,7,2020-07-01
CUST0032,20,Other,30885,1320.6,62,21.3,Casual,Yellow,0,Friday,Online,Often,14,Electronics,1786,1,2024-08-31
CUST0033,54,Female,36539,3975.96,68,58.47,Vintage,Black,0,Sunday,Online,Sometimes,52,Footwear,570,2,2024-02-12
CUST0034,41,Female,81020,11069.25,75,147.59,Sporty,Yellow,1,Wednesday,InStore,Rarely,34,Accessories,9612,5,2023-08-01
CUST0035,19,Female,39548,2351.05,65,36.17,Casual,Yellow,1,Friday,Online,Always,15,Electronics,9546,4,2024-07-13
CUST0036,36,Male,83225,6585.8,65,101.32,Sporty,Green,0,Wednesday,Online,Never,86,Footwear,1276,6,2020-10-17
CUST0037,22,Other,36617,1075.55,49,21.95,Casual,White,1,Friday,Online,Rarely,17,Accessories,6988,7,2021-11-17
CUST0038,35,Female,58648,3385.44,48,70.53,Formal,Green,0,Monday,Online,Rarely,75,Beauty,1340,6,2021-12-08
CUST0039,58,Male,44488,4147.2,96,43.2,Vintage,Green,1,Sunday,InStore,Always,22,Home Decor,1489,5,2024-03-10
CUST0040,45,Male,90291,5834.4,52,112.2,Bohemian,Blue,1,Saturday,Online,Rarely,4,Clothing,4111,8,2021-05-25
CUST0041,27,Other,84923,9419.76,63,149.52,Bohemian,Green,0,Saturday,InStore,Sometimes,52,Accessories,302,1,2021-05-14
CUST0042,24,Other,27170,662.08,32,20.69,Casual,Green,1,Friday,Online,Rarely,16,Electronics,2284,8,2021-10-02
CUST0043,42,Female,89511,9546.5,50,190.93,Bohemian,Green,1,Saturday,InStore,Sometimes,21,Home Decor,7877,8,2021-11-29
CUST0044,48,Female,68101,8928.01,91,98.11,Sporty,Green,1,Wednesday,InStore,Rarely,10,Home Decor,4781,4,2025-02-09
CUST0045,41,Male,70476,9984.02,79,126.38,Sporty,Blue,0,Wednesday,Online,Often,28,Clothing,849,7,2024-09-16
CUST0046,44,Male,75267,6414.66,63,101.82,Sporty,Blue,1,Wednesday,Online,Often,90,Clothing,9532,7,2025-01-28
CUST0047,51,Female,41526,2188.8,48,45.6,Vintage,White,0,Sunday,Online,Rarely,63,Clothing,796,6,2023-05-31
CUST0048,62,Male,35408,3201.6,69,46.4,Vintage,Green,0,Sunday,InStore,Sometimes,85,Clothing,171,7,2023-05-15
CUST0049,33,Female,45954,888.8,16,55.55,Formal,White,1,Monday,Online,Rarely,49,Footwear,7006,5,2020-05-25
CUST0050,25,Male,20635,3111.81,79,39.39,Casual,Black,0,Friday,InStore,Often,84,Clothing,1544,1,2021-12-23
CUST0051,29,Male,40667,6519.25,89,73.25,Formal,Blue,0,Monday,Online,Rarely,28,Electronics,1432,5,2023-12-10
CUST0052,38,Other,79853,12681.12,87,145.76,Sporty,Yellow,0,Wednesday,InStore,Rarely,40,Clothing,1185,1,2024-11-01
CUST0053,45,Female,82195,8273.12,58,142.64,Sporty,Yellow,0,Wednesday,Online,Often,81,Accessories,208,5,2023-12-27
CUST0054,28,Male,96090,13102.78,82,159.79,Bohemian,Black,1,Saturday,InStore,Never,83,Footwear,307,7,2020-12-27
CUST0055,52,Other,44205,3228.96,56,57.66,Vintage,White,0,Sunday,Online,Often,84,Footwear,1261,9,2022-02-02
CUST0056,58,Female,44272,2775.25,85,32.65,Vintage,Black,0,Sunday,InStore,Never,58,Accessories,1536,8,2022-09-02
CUST0057,44,Female,91895,6936.8,58,119.6,Bohemian,Red,1,Saturday,InStore,Rarely,28,Footwear,4332,6,2020-07-03
CUST0058,50,Female,79534,8233.83,99,83.17,Sporty,Green,0,Wednesday,InStore,Rarely,31,Home Decor,832,8,2023-06-12
CUST0059,32,Other,92629,9277.1,70,132.53,Bohemian,Yellow,1,Saturday,Online,Never,38,Accessories,6725,4,2021-06-06
CUST0060,46,Female,79056,6110.97,57,107.21,Sporty,Green,1,Wednesday,Online,Often,43,Footwear,7534,5,2024-08-30
CUST0061,40,Other,67554,2474.75,25,98.99,Sporty,Blue,1,Wednesday,Online,Sometimes,89,Accessories,3238,4,2021-07-28
CUST0062,55,Other,49319,4224.22,77,54.86,Vintage,Black,0,Sunday,InStore,Rarely,47,Accessories,619,1,2021-07-16
CUST0063,29,Male,78988,2035.2,15,135.68,Bohemian,Green,1,Saturday,InStore,Rarely,63,Clothing,300,10,2020-10-10
CUST0064,43,Female,75686,6578.22,66,99.67,Sporty,Blue,0,Wednesday,Online,Often,15,Clothing,820,8,2023-06-18
CUST0065,18,Other,24971,894.65,29,30.85,Casual,Black,0,Friday,InStore,Rarely,54,Beauty,1220,10,2023-08-05
CUST0066,34,Female,52464,3633.41,67,54.23,Formal,Black,1,Monday,Online,Sometimes,79,Home Decor,1725,4,2022-01-17
CUST0067,30,Male,42660,2222.1,30,74.07,Formal,Blue,0,Monday,Online,Sometimes,89,Beauty,962,5,2022-02-26
CUST0068,21,Female,29440,2149.0,100,21.49,Casual,Yellow,1,Friday,Online,Rarely,34,Home Decor,9763,4,2024-11-17
CUST0069,52,Other,47844,2265.18,38,59.61,Vintage,Blue,1,Sunday,InStore,Never,22,Footwear,9849,10,2023-07-31
CUST0070,43,Other,64074,9250.14,69,134.06,Sporty,Black,1,Wednesday,InStore,Sometimes,64,Electronics,1417,10,2024-04-03
CUST0071,24,Female,30561,2085.39,87,23.97,Casual,Red,0,Friday,Online,Often,74,Beauty,1947,1,2021-10-31
CUST0072,45,Female,61318,2572.48,32,80.39,Sporty,Green,1,Wednesday,InStore,Rarely,75,Electronics,8156,2,2022-01-04
CUST0073,56,Female,43380,2831.92,52,54.46,Vintage,Yellow,0,Sunday,InStore,Rarely,89,Electronics,590,7,2020-09-08
CUST0074,26,Female,84903,3584.49,21,170.69,Bohemian,Black,1,Saturday,Online,Often,66,Clothing,8989,8,2023-09-22
CUST0075,51,Female,36146,3942.12,76,51.87,Vintage,Green,1,Sunday,InStore,Often,27,Footwear,9098,3,2023-11-17
CUST0076,43,Female,88863,13265.01,99,133.99,Sporty,Red,0,Wednesday,InStore,Sometimes,31,Home Decor,324,5,2025-03-20
CUST0077,25,Male,88096,6658.8,62,107.4,Bohemian,Blue,0,Saturday,Online,Rarely,20,Electronics,1910,5,2021-02-14
CUST0078,33,Female,83614,9645.35,71,135.85,Bohemian,Blue,1,Saturday,InStore,Sometimes,77,Beauty,2336,2,2021-12-16
CUST0079,48,Female,85886,5550.93,63,88.11,Sporty,Green,1,Wednesday,InStore,Rarely,39,Beauty,9601,8,2023-09-20
CUST0080,33,Female,57648,5388.19,71,75.89,Formal,Black,1,Monday,Online,Rarely,25,Home Decor,4012,10,2021-03-03
CUST0081,54,Female,43460,730.5,15,48.7,Vintage,Yellow,1,Sunday,InStore,Often,50,Home Decor,2592,8,2021-02-26
CUST0082,20,Female,36459,2262.7,85,26.62,Casual,Red,1,Friday,Online,Always,2,Home Decor,2461,7,2025-01-01
CUST0083,27,Female,55384,2232.13,43,51.91,Formal,Green,1,Monday,InStore,Often,87,Beauty,6326,6,2024-01-24
CUST0084,64,Other,47728,550.62,14,39.33,Vintage,Red,0,Sunday,InStore,Always,30,Home Decor,185,7,2024-12-31
CUST0085,19,Other,34538,821.5,31,26.5,Casual,Black,0,Friday,Online,Often,38,Footwear,767,7,2025-04-25
CUST0086,29,Other,57405,4457.18,62,71.89,Formal,Yellow,0,Monday,Online,Never,49,Beauty,1399,4,2020-06-07
CUST0087,65,Male,49108,1375.64,28,49.13,Vintage,White,1,Sunday,Online,Often,60,Footwear,9055,3,2020-05-08
CUST0088,25,Female,31323,3207.9,85,37.74,Casual,Yellow,1,Friday,InStore,Sometimes,39,Accessories,6402,8,2024-09-28
CUST0089,21,Female,32496,2443.52,83,29.44,Casual,Green,1,Friday,InStore,Rarely,85,Electronics,4597,1,2020-11-15
CUST0090,26,Other,99839,9740.52,87,111.96,Bohemian,White,1,Saturday,InStore,Rarely,46,Accessories,3215,10,2024-03-05
CUST0091,46,Other,84758,12213.42,94,129.93,Sporty,Blue,0,Wednesday,InStore,Sometimes,40,Electronics,68,10,2022-02-01
CUST0092,47,Female,64306,2798.25,21,133.25,Sporty,Black,1,Wednesday,Online,Rarely,70,Footwear,8797,9,2021-11-14
CUST0093,49,Female,65391,5010.18,42,119.29,Sporty,Black,1,Wednesday,InStore,Sometimes,10,Accessories,3796,7,2022-08-12
CUST0094,36,Male,72959,10626.0,60,177.1,Bohemian,Black,0,Saturday,Online,Often,87,Footwear,1197,7,2024-05-11
CUST0095,37,Female,82113,4468.23,39,114.57,Sporty,Red,1,Wednesday,InStore,Rarely,9,Home Decor,7706,5,2022-12-12
CUST0096,52,Male,34580,685.2,15,45.68,Vintage,Black,1,Sunday,Online,Rarely,69,Accessories,6467,8,2021-05-07
CUST0097,46,Other,84351,10883.07,99,109.93,Sporty,White,0,Wednesday,InStore,Sometimes,63,Beauty,835,5,2020-09-26
CUST0098,23,Female,27119,1353.66,66,20.51,Casual,Blue,1,Friday,Online,Often,70,Home Decor,5976,1,2024-10-10
CUST0099,55,Female,36219,831.0,25,33.24,Vintage,Red,0,Sunday,InStore,Sometimes,3,Clothing,1611,6,2022-06-18
CUST0100,28,Male,58500,1833.84,36,50.94,Formal,Green,0,Monday,InStore,Often,30,Footwear,1585,3,2022-10-11
CUST0101,25,Male,79085,4581.92,28,163.64,Bohemian,Green,1,Saturday,InStore,Never,4,Accessories,343,6,2024-09-20
CUST0102,35,Male,50609,713.16,12,59.43,Formal,Black,0,Monday,Online,Sometimes,15,Home Decor,130,8,2023-03-01
CUST0103,63,Other,41863,3394.5,75,45.26,Vintage,Red,1,Sunday,InStore,Always,6,Home Decor,8643,5,2021-06-18
CUST0104,61,Female,31020,972.91,17,57.23,Vintage,White,1,Sunday,InStore,Sometimes,57,Clothing,1423,6,2022-05-09
CUST0105,29,Female,72152,3248.18,26,124.93,Bohemian,Green,1,Saturday,Online,Sometimes,38,Electronics,8382,10,2021-01-02
CUST0106,52,Other,33749,3934.83,93,42.31,Vintage,Green,0,Sunday,Online,Often,53,Footwear,1694,8,2025-02-16
CUST0107,57,Female,33115,2633.5,50,52.67,Vintage,Black,1,Sunday,Online,Rarely,61,Clothing,1594,2,2025-03-27
CUST0108,24,Male,23164,1401.06,57,24.58,Casual,Green,0,Friday,InStore,Sometimes,43,Home Decor,250,7,2021-06-30
CUST0109,49,Other,81801,5464.96,64,85.39,Sporty,Red,1,Wednesday,InStore,Sometimes,74,Beauty,3585,3,2023-08-22
CUST0110,54,Other,33546,2089.26,54,38.69,Vintage,Black,0,Sunday,InStore,Sometimes,55,Beauty,1995,10,2024-06-19
CUST0111,45,Other,88243,1509.56,13,116.12,Bohemian,Yellow,1,Saturday,Online,Rarely,40,Footwear,5851,1,2020-12-17
CUST0112,28,Female,58557,7321.66,94,77.89,Formal,Red,0,Monday,InStore,Always,12,Home Decor,1086,4,2024-07-22
CUST0113,57,Male,44865,2874.72,53,54.24,Vintage,Black,1,Sunday,InStore,Often,73,Beauty,1491,1,2021-07-17
CUST0114,28,Male,41630,6624.0,96,69.0,Formal,Black,1,Monday,InStore,Sometimes,57,Electronics,4575,4,2025-04-01
CUST0115,28,Male,81310,12164.75,65,187.15,Bohemian,Black,1,Saturday,InStore,Rarely,29,Electronics,9919,1,2024-01-07
CUST0116,21,Male,29876,1334.59,37,36.07,Casual,Black,1,Friday,Online,Never,56,Accessories,2216,7,2024-10-17
CUST0117,32,Other,86392,9611.46,81,118.66,Bohemian,Black,0,Saturday,Online,Often,56,Clothing,941,2,2024-10-16
CUST0118,45,Female,74066,11825.84,83,142.48,Sporty,Yellow,1,Wednesday,Online,Sometimes,42,Accessories,7638,6,2021-05-17
CUST0119,24,Female,23468,1262.39,41,30.79,Casual,Green,1,Friday,InStore,Sometimes,40,Home Decor,5662,4,2023-10-22
CUST0120,48,Other,65509,2593.88,19,136.52,Sporty,Yellow,0,Wednesday,InStore,Rarely,45,Footwear,1489,3,2022-10-27
CUST0121,27,Male,44798,3228.96,42,76.88,Formal,Blue,0,Monday,InStore,Sometimes,23,Home Decor,1011,8,2020-06-24
CUST0122,43,Other,84709,12784.6,97,131.8,Bohemian,Yellow,1,Saturday,InStore,Sometimes,20,Electronics,1218,8,2020-12-24
CUST0123,61,Other,39922,1498.5,45,33.3,Vintage,Red,1,Sunday,InStore,Rarely,58,Clothing,1032,6,2021-12-31
CUST0124,37,Other,81124,2015.16,21,95.96,Sporty,Green,1,Wednesday,Online,Sometimes,6,Electronics,9466,4,2022-09-23
CUST0125,45,Male,75585,8132.6,74,109.9,Sporty,Red,1,Wednesday,Online,Always,44,Home Decor,1481,9,2025-04-23
CUST0126,26,Female,48118,7454.0,100,74.54,Formal,White,0,Monday,Online,Always,50,Electronics,1586,6,2021-02-22
CUST0127,26,Other,95861,16746.3,90,186.07,Bohemian,Black,0,Saturday,Online,Sometimes,50,Footwear,516,10,2023-12-30
CUST0128,31,Other,42670,4217.64,84,50.21,Formal,Blue,1,Monday,Online,Sometimes,85,Electronics,2212,10,2025-04-14
CUST0129,22,Other,38314,1752.18,58,30.21,Casual,Black,0,Friday,InStore,Often,88,Beauty,191,7,2020-05-09
CUST0130,36,Female,70597,7937.44,56,141.74,Bohemian,Blue,0,Saturday,Online,Often,25,Accessories,281,3,2025-01-06
CUST0131,22,Other,23314,1808.56,74,24.44,Casual,Yellow,0,Friday,InStore,Often,80,Accessories,1223,7,2021-06-22
CUST0132,28,Other,45925,5252.8,98,53.6,Formal,Blue,1,Monday,Online,Sometimes,31,Electronics,4768,8,2020-06-26
CUST0133,34,Female,47837,2946.37,49,60.13,Formal,Blue,1,Monday,InStore,Sometimes,57,Electronics,4716,7,2020-05-17
CUST0134,41,Male,83718,5828.7,30,194.29,Bohemian,Green,0,Saturday,InStore,Never,62,Footwear,1135,2,2024-11-23
CUST0135,28,Male,79340,2646.4,20,132.32,Bohemian,Black,1,Saturday,InStore,Rarely,56,Clothing,3737,8,2023-05-14
CUST0136,50,Male,60873,7328.16,63,116.32,Sporty,White,1,Wednesday,Online,Always,48,Accessories,561,6,2024-06-23
CUST0137,23,Male,24785,919.62,27,34.06,Casual,Black,1,Friday,InStore,Rarely,61,Electronics,186,2,2024-02-14
CUST0138,22,Other,27066,790.83,29,27.27,Casual,Yellow,1,Friday,Online,Rarely,39,Clothing,882,4,2025-03-12
CUST0139,61,Male,44978,1064.7,18,59.15,Vintage,White,0,Sunday,InStore,Sometimes,19,Footwear,879,1,2022-02-20
CUST0140,36,Female,77882,16287.92,83,196.24,Bohemian,Blue,0,Saturday,InStore,Sometimes,68,Beauty,1039,9,2021-05-26
CUST0141,25,Male,82794,8762.6,70,125.18,Bohemian,Yellow,1,Saturday,InStore,Rarely,3,Footwear,1206,6,2021-01-26
CUST0142,27,Male,59067,3375.84,52,64.92,Formal,Red,1,Monday,InStore,Often,23,Home Decor,7712,8,2023-01-03
CUST0143,28,Male,42067,4014.04,68,59.03,Formal,Black,0,Monday,Online,Rarely,6,Footwear,1911,5,2023-05-17
CUST0144,37,Female,96719,10149.92,79,128.48,Bohemian,Black,0,Saturday,InStore,Rarely,46,Clothing,1773,6,2021-04-18
CUST0145,37,Female,86192,4707.06,57,82.58,Sporty,White,1,Wednesday,InStore,Sometimes,24,Electronics,8251,6,2021-12-27
CUST0146,33,Other,96252,3219.2,20,160.96,Bohemian,White,0,Saturday,Online,Always,24,Beauty,601,6,2024-01-08
CUST0147,19,Female,30745,2824.7,94,30.05,Casual,Black,1,Friday,InStore,Sometimes,89,Electronics,5859,8,2023-08-24
CUST0148,23,Other,34252,946.35,45,21.03,Casual,Red,0,Friday,InStore,Sometimes,66,Home Decor,1391,3,2024-10-23
CUST0149,20,Female,39908,2454.72,96,25.57,Casual,Red,0,Friday,Online,Often,47,Footwear,784,10,2022-07-19
CUST0150,20,Female,34743,2175.69,57,38.17,Casual,White,0,Friday,InStore,Sometimes,51,Footwear,1330,5,2021-10-11
CUST0151,27,Female,40849,1887.27,33,57.19,Formal,Green,1,Monday,InStore,Rarely,34,Home Decor,7411,4,2023-12-19
CUST0152,34,Male,92740,8243.28,72,114.49,Bohemian,Red,0,Saturday,InStore,Sometimes,57,Clothing,1659,6,2022-07-28
CUST0153,47,Other,62127,9140.8,80,114.26,Sporty,Black,1,Wednesday,InStore,Often,90,Home Decor,2952,6,2024-07-20
CUST0154,32,Male,73976,6949.95,35,198.57,Bohemian,Blue,1,Saturday,Online,Sometimes,48,Electronics,9138,3,2020-11-26
CUST0155,27,Female,72154,6086.29,49,124.21,Bohemian,Yellow,1,Saturday,InStore,Often,74,Clothing,2153,6,2022-09-20
CUST0156,25,Other,35264,3243.68,97,33.44,Casual,Black,0,Friday,InStore,Often,82,Beauty,372,3,2020-07-29
CUST0157,59,Other,31815,1321.25,25,52.85,Vintage,Blue,1,Sunday,Online,Rarely,29,Footwear,8601,5,2020-05-10
CUST0158,22,Other,26432,2252.25,91,24.75,Casual,Black,0,Friday,InStore,Sometimes,12,Beauty,1312,3,2020-06-07
CUST0159,43,Other,75052,5357.42,31,172.82,Bohemian,Green,1,Saturday,InStore,Sometimes,4,Clothing,844,10,2023-11-04
CUST0160,46,Female,66907,8776.42,83,105.74,Sporty,Green,0,Wednesday,Online,Sometimes,38,Home Decor,1959,5,2022-05-19
CUST0161,54,Female,43306,2350.56,48,48.97,Vintage,Red,0,Sunday,Online,Sometimes,60,Accessories,696,10,2022-10-24
CUST0162,31,Female,50463,3726.54,54,69.01,Formal,Blue,1,Monday,InStore,Never,31,Electronics,2107,5,2024-05-28
CUST0163,54,Male,34616,1013.54,22,46.07,Vintage,Black,1,Sunday,InStore,Sometimes,21,Footwear,9564,6,2020-10-15
CUST0164,28,Female,56327,3953.25,75,52.71,Formal,White,1,Monday,Online,Never,51,Beauty,7591,4,2024-01-16
CUST0165,35,Male,51563,1200.96,16,75.06,Formal,Black,1,Monday,InStore,Often,87,Electronics,4781,9,2021-12-31
CUST0166,19,Female,34120,713.34,27,26.42,Casual,Yellow,1,Friday,InStore,Sometimes,52,Clothing,9443,9,2020-08-10
CUST0167,31,Male,58128,2557.6,46,55.6,Formal,White,1,Monday,InStore,Rarely,80,Home Decor,2046,3,2024-05-06
CUST0168,24,Other,32228,1103.46,53,20.82,Casual,Black,0,Friday,Online,Sometimes,65,Clothing,92,1,2020-09-03
CUST0169,31,Female,55523,5147.48,76,67.73,Formal,Blue,0,Monday,Online,Sometimes,21,Electronics,1262,5,2023-03-04
CUST0170,35,Other,86623,12582.0,75,167.76,Bohemian,White,1,Saturday,Online,Never,43,Home Decor,1895,7,2021-09-13
CUST0171,34,Other,96108,9962.68,98,101.66,Bohemian,Red,1,Saturday,Online,Sometimes,75,Beauty,3828,1,2021-04-10
CUST0172,40,Other,75587,11643.17,77,151.21,Bohemian,Yellow,1,Saturday,Online,Often,5,Beauty,1900,4,2024-11-07
CUST0173,25,Male,30279,1545.39,63,24.53,Casual,White,0,Friday,Online,Often,61,Home Decor,1489,1,2021-07-25
CUST0174,34,Female,46794,5618.16,81,69.36,Formal,Yellow,1,Monday,InStore,Rarely,23,Electronics,8834,6,2022-08-10
CUST0175,36,Other,92146,11391.68,97,117.44,Bohemian,Yellow,1,Saturday,InStore,Rarely,32,Footwear,9243,5,2024-10-02
CUST0176,30,Male,49470,7073.0,100,70.73,Formal,Yellow,1,Monday,Online,Sometimes,36,Footwear,2096,10,2024-04-10
CUST0177,37,Female,99352,8320.2,60,138.67,Bohemian,Blue,1,Saturday,Online,Always,11,Footwear,7347,5,2022-05-13
CUST0178,54,Female,36621,4531.8,78,58.1,Vintage,Green,1,Sunday,Online,Sometimes,76,Accessories,4072,1,2022-12-06
CUST0179,32,Male,90904,4436.25,39,113.75,Bohemian,Red,1,Saturday,Online,Sometimes,88,Accessories,184,9,2023-04-22
CUST0180,32,Other,55587,4276.33,71,60.23,Formal,Blue,1,Monday,Online,Sometimes,12,Home Decor,9506,4,2023-05-15
CUST0181,26,Female,99924,3563.2,32,111.35,Bohemian,Blue,0,Saturday,InStore,Sometimes,64,Accessories,1918,5,2023-04-13
CUST0182,18,Other,29777,3156.18,82,38.49,Casual,Red,1,Friday,Online,Always,70,Beauty,8192,3,2024-04-14
CUST0183,39,Male,78940,6382.82,34,187.73,Bohemian,Black,0,Saturday,InStore,Sometimes,24,Clothing,1508,6,2022-10-22
CUST0184,45,Male,82098,3334.04,34,98.06,Sporty,Green,1,Wednesday,InStore,Sometimes,12,Electronics,1662,3,2025-01-10
CUST0185,33,Male,50603,2861.8,41,69.8,Formal,Black,1,Monday,Online,Often,43,Footwear,9643,10,2023-05-30
CUST0186,22,Male,31781,3561.32,98,36.34,Casual,Red,0,Friday,Online,Rarely,88,Beauty,1890,5,2023-02-17
CUST0187,22,Male,32043,2736.8,88,31.1,Casual,Blue,0,Friday,Online,Sometimes,78,Footwear,851,9,2023-10-05
CUST0188,63,Male,47613,4359.55,95,45.89,Vintage,Blue,0,Sunday,InStore,Sometimes,47,Clothing,1878,10,2021-06-30
CUST0189,18,Male,37945,1838.16,74,24.84,Casual,Green,0,Friday,Online,Often,57,Clothing,1393,4,2022-09-05
CUST0190,40,Female,72979,8198.25,75,109.31,Bohemian,Red,1,Saturday,Online,Sometimes,73,Clothing,9255,8,2021-04-02
CUST0191,47,Female,60713,8568.6,60,142.81,Sporty,Red,0,Wednesday,InStore,Never,45,Home Decor,130,9,2022-07-21
CUST0192,19,Female,35468,532.14,14,38.01,Casual,White,0,Friday,InStore,Often,83,Electronics,766,7,2023-08-07
CUST0193,64,Male,42369,2841.42,58,48.99,Vintage,Yellow,0,Sunday,InStore,Sometimes,23,Beauty,804,9,2021-10-24
CUST0194,29,Female,40113,722.04,12,60.17,Formal,White,1,Monday,InStore,Often,32,Electronics,5771,3,2023-03-14
CUST0195,39,Male,88678,2506.56,24,104.44,Sporty,Yellow,1,Wednesday,InStore,Always,3,Accessories,3476,2,2021-08-06
CUST0196,18,Other,34628,2968.72,86,34.52,Casual,Yellow,0,Friday,Online,Never,57,Accessories,1105,4,2024-07-14
CUST0197,20,Male,36511,1783.18,47,37.94,Casual,Yellow,1,Friday,InStore,Often,42,Accessories,5044,3,2022-11-17
CUST0198,32,Female,83551,9058.08,48,188.71,Bohemian,Red,0,Saturday,InStore,Sometimes,64,Clothing,1991,6,2025-03-30
CUST0199,63,Other,47185,2670.0,50,53.4,Vintage,White,1,Sunday,Online,Sometimes,69,Electronics,4048,4,2021-03-01
CUST0200,49,Female,83185,3498.32,28,124.94,Sporty,Red,1,Wednesday,InStore,Sometimes,18,Electronics,4078,5,2025-03-16
CUST0201,31,Female,42590,3518.84,67,52.52,Formal,Red,0,Monday,Online,Sometimes,78,Beauty,80,2,2025-04-24
CUST0202,35,Female,58312,2029.45,37,54.85,Formal,Blue,1,Monday,Online,Always,28,Accessories,2022,8,2021-05-16
CUST0203,35,Male,46701,4617.6,60,76.96,Formal,Green,1,Monday,InStore,Sometimes,69,Home Decor,5986,5,2024-02-23
